42,PA,Pennsylvania,00-0000,All Occupations,total,"5,747,020",0.3,1000.000,1.00,22.85,"47,540",0.4,8.94,11.65,17.63,27.99,42.17,"18,600","24,230","36,680","58,220","87,710",,
44,RI,Rhode Island,00-0000,All Occupations,total,"475,190",1.7,1000.000,1.00,24.96,"51,920",1.2,9.76,12.37,19.10,30.82,46.30,"20,310","25,720","39,730","64,100","96,300",,
45,SC,South Carolina,00-0000,All Occupations,total,"1,979,820",0.4,1000.000,1.00,19.97,"41,530",0.6,8.49,10.32,15.45,24.04,36.05,"17,650","21,470","32,140","49,990","74,990",,
46,SD,South Dakota,00-0000,All Occupations,total,"417,520",0.5,1000.000,1.00,19.27,"40,070",0.5,9.36,11.24,15.19,22.45,32.47,"19,480","23,370","31,590","46,700","67,530",,
47,TN,Tennessee,00-0000,All Occupations,total,"2,893,040",0.5,1000.000,1.00,20.36,"42,350",0.5,8.62,10.72,15.77,24.21,36.41,"17,920","22,300","32,800","50,360","75,740",,
48,TX,Texas,00-0000,All Occupations,total,"11,745,250",0.3,1000.000,1.00,22.97,"47,770",0.4,8.69,11.00,17.06,27.98,43.61,"18,080","22,890","35,480","58,190","90,710",,
49,UT,Utah,00-0000,All Occupations,total,"1,374,900",0.6,1000.000,1.00,21.87,"45,490",0.6,8.99,11.48,16.83,26.59,39.86,"18,690","23,880","35,010","55,300","82,910",,
50,VT,Vermont,00-0000,All Occupations,total,"304,670",1.0,1000.000,1.00,22.90,"47,620",1.1,10.45,13.05,18.23,27.12,38.85,"21,740","27,150","37,920","56,400","80,800",,
51,VA,Virginia,00-0000,All Occupations,total,"3,760,550",0.5,1000.000,1.00,25.53,"53,090",0.6,8.97,11.88,18.78,31.23,50.95,"18,660","24,720","39,070","64,950","105,980",,
53,WA,Washington,00-0000,All Occupations,total,"3,067,110",0.7,1000.000,1.00,26.83,"55,810",1.8,11.05,13.93,20.87,33.24,50.24,"22,980","28,970","43,400","69,140","104,490",,
54,WV,West Virginia,00-0000,All Occupations,total,"697,440",1.0,1000.000,1.00,19.35,"40,250",0.6,9.10,10.00,14.79,23.49,34.33,"18,930","20,810","30,760","48,860","71,410",,
55,WI,Wisconsin,00-0000,All Occupations,total,"2,805,010",0.5,1000.000,1.00,21.75,"45,240",0.5,8.94,11.68,17.43,26.57,38.25,"18,600","24,300","36,250","55,260","79,560",,
56,WY,Wyoming,00-0000,All Occupations,total,"276,120",0.6,1000.000,1.00,22.52,"46,840",0.6,9.42,12.70,18.61,28.24,38.36,"19,600","26,420","38,710","58,730","79,790",,
66,GU,Guam,00-0000,All Occupations,total,"61,520",1.1,1000.000,1.00,16.73,"34,790",2.6,8.76,9.27,12.77,19.78,29.76,"18,220","19,280","26,570","41,140","61,900",,
72,PR,Puerto Rico,00-0000,All Occupations,total,"883,360",0.5,1000.000,1.00,13.82,"28,740",1.1,7.89,8.52,9.73,15.59,23.75,"16,410","17,720","20,240","32,430","49,400",,
78,VI,Virgin Islands,00-0000,All Occupations,total,"37,320",1.7,1000.000,1.00,18.10,"37,640",2.3,8.33,9.69,14.15,21.81,31.30,"17,330","20,150","29,420","45,370","65,110",,
